카테고리,강원도 동해시,강원도 동해시 천곡동,강원도 동해시 송정동,강원도 동해시 북삼동,강원도 동해시 부곡동,강원도 동해시 동호동,강원도 동해시 발한동,강원도 동해시 묵호동,강원도 동해시 북평동,강원도 동해시 망상동,강원도 동해시 삼화동
2021년03월_계_총인구수,"89,922","30,673","3,944","19,118","5,085","5,126","3,466","3,170","12,867","3,549","2,924"
2021년03월_계_연령구간인구수,"89,922","30,673","3,944","19,118","5,085","5,126","3,466","3,170","12,867","3,549","2,924"
2021년03월_계_0~9세,"6,511","2,733",151,"1,443",192,299,103,98,"1,221",168,103
2021년03월_계_10~19세,"8,680","3,273",237,"2,496",344,444,162,169,"1,182",187,186
2021년03월_계_20~29세,"9,265","3,398",547,"2,186",445,476,255,195,"1,286",263,214
2021년03월_계_30~39세,"8,995","3,624",292,"1,853",358,428,217,175,"1,561",282,205
2021년03월_계_40~49세,"14,395","5,139",522,"3,647",685,729,412,399,"2,094",432,336
2021년03월_계_50~59세,"15,538","5,056",692,"3,469",920,926,573,517,"2,193",622,570
2021년03월_계_60~69세,"14,146","4,556",722,"2,250","1,091",903,796,704,"1,786",720,618
2021년03월_계_70~79세,"8,026","1,942",469,"1,185",715,637,611,572,948,524,423
2021년03월_계_80~89세,"3,836",823,265,519,294,264,296,317,522,305,231
2021년03월_계_90~99세,518,129,46,70,40,18,39,23,73,44,36
2021년03월_계_100세 이상,12,0,1,0,1,2,2,1,1,2,2
2021년03월_남_총인구수,"45,660","15,287","2,150","9,886","2,495","2,593","1,755","1,576","6,618","1,773","1,527"
2021년03월_남_연령구간인구수,"45,660","15,287","2,150","9,886","2,495","2,593","1,755","1,576","6,618","1,773","1,527"
2021년03월_남_0~9세,"3,347","1,414",74,735,106,148,52,57,628,82,51
2021년03월_남_10~19세,"4,524","1,646",135,"1,339",186,229,84,94,613,98,100
2021년03월_남_20~29세,"5,466","1,963",373,"1,302",253,282,158,105,743,150,137
2021년03월_남_30~39세,"4,807","1,899",175,988,184,225,137,102,816,154,127
2021년03월_남_40~49세,"7,508","2,545",314,"1,796",373,419,250,237,"1,126",248,200
2021년03월_남_50~59세,"8,040","2,412",380,"1,862",453,486,313,295,"1,162",336,341
2021년03월_남_60~69세,"6,844","2,187",363,"1,096",517,418,365,326,896,361,315
2021년03월_남_70~79세,"3,638",903,222,556,312,285,288,223,447,230,172
2021년03월_남_80~89세,"1,381",291,103,198,105,95,98,130,177,106,78
2021년03월_남_90~99세,102,27,11,14,6,5,10,7,10,7,5
2021년03월_남_100세 이상,3,0,0,0,0,1,0,0,0,1,1
2021년03월_여_총인구수,"44,262","15,386","1,794","9,232","2,590","2,533","1,711","1,594","6,249","1,776","1,397"
2021년03월_여_연령구간인구수,"44,262","15,386","1,794","9,232","2,590","2,533","1,711","1,594","6,249","1,776","1,397"
2021년03월_여_0~9세,"3,164","1,319",77,708,86,151,51,41,593,86,52
2021년03월_여_10~19세,"4,156","1,627",102,"1,157",158,215,78,75,569,89,86
2021년03월_여_20~29세,"3,799","1,435",174,884,192,194,97,90,543,113,77
2021년03월_여_30~39세,"4,188","1,725",117,865,174,203,80,73,745,128,78
2021년03월_여_40~49세,"6,887","2,594",208,"1,851",312,310,162,162,968,184,136
2021년03월_여_50~59세,"7,498","2,644",312,"1,607",467,440,260,222,"1,031",286,229
2021년03월_여_60~69세,"7,302","2,369",359,"1,154",574,485,431,378,890,359,303
2021년03월_여_70~79세,"4,388","1,039",247,629,403,352,323,349,501,294,251
2021년03월_여_80~89세,"2,455",532,162,321,189,169,198,187,345,199,153
2021년03월_여_90~99세,416,102,35,56,34,13,29,16,63,37,31
2021년03월_여_100세 이상,9,0,1,0,1,1,2,1,1,1,1
