,경기도 김포시,경기도 김포시 통진읍,경기도 김포시 고촌읍,경기도 김포시 양촌읍,경기도 김포시 대곶면,경기도 김포시 월곶면,경기도 김포시 하성면,경기도 김포시 김포본동,경기도 김포시 장기본동,경기도 김포시 사우동,경기도 김포시 풍무동,경기도 김포시 장기동,경기도 김포시 구래동,경기도 김포시 마산동,경기도 김포시 운양동
2021년09월_계_총인구수,"485,647","28,824","48,013","29,054","9,840","5,470","8,218","61,138","38,992","22,726","61,887","41,303","44,809","35,569","49,804"
2021년09월_계_연령구간인구수,"485,647","28,824","48,013","29,054","9,840","5,470","8,218","61,138","38,992","22,726","61,887","41,303","44,809","35,569","49,804"
2021년09월_계_0~9세,"54,483","1,754","6,437","2,276",307,131,257,"5,882","4,658","1,512","6,481","5,411","6,493","5,513","7,371"
2021년09월_계_10~19세,"49,471","2,352","4,653","2,506",529,232,440,"6,316","5,578","2,051","7,008","5,162","4,043","3,171","5,430"
2021년09월_계_20~29세,"52,841","3,538","4,348","2,921",931,509,805,"7,650","3,961","3,124","7,685","3,955","5,841","3,049","4,524"
2021년09월_계_30~39세,"75,848","3,195","8,574","3,846",850,409,686,"8,171","5,339","2,816","8,967","6,435","10,185","7,652","8,723"
2021년09월_계_40~49세,"91,647","4,242","9,355","4,832","1,218",587,873,"10,606","8,390","3,730","11,605","9,221","8,777","7,100","11,111"
2021년09월_계_50~59세,"68,786","5,473","6,084","4,960","2,155","1,120","1,641","10,320","5,188","4,177","9,064","5,009","4,250","3,544","5,801"
2021년09월_계_60~69세,"53,156","4,753","5,321","4,451","2,162","1,326","1,835","6,985","3,313","3,005","6,189","3,435","3,173","3,147","4,061"
2021년09월_계_70~79세,"26,467","2,217","2,245","2,135","1,046",702,"1,033","3,406","1,781","1,526","3,318","1,867","1,482","1,737","1,972"
2021년09월_계_80~89세,"11,226","1,114",850,967,548,370,561,"1,585",689,691,"1,382",706,491,567,705
2021년09월_계_90~99세,"1,668",178,141,153,92,80,82,213,93,89,182,99,72,88,106
2021년09월_계_100세 이상,54,8,5,7,2,4,5,4,2,5,6,3,2,1,0
2021년09월_남_총인구수,"243,017","15,404","23,945","15,328","5,775","3,009","4,477","30,084","18,979","11,381","30,194","20,177","22,299","17,620","24,345"
2021년09월_남_연령구간인구수,"243,017","15,404","23,945","15,328","5,775","3,009","4,477","30,084","18,979","11,381","30,194","20,177","22,299","17,620","24,345"
2021년09월_남_0~9세,"27,745",902,"3,367","1,136",164,60,129,"2,962","2,310",810,"3,317","2,735","3,265","2,843","3,745"
2021년09월_남_10~19세,"25,205","1,274","2,399","1,301",293,107,249,"3,210","2,828","1,078","3,577","2,538","1,984","1,576","2,791"
2021년09월_남_20~29세,"27,193","2,100","2,170","1,602",587,318,502,"4,063","1,985","1,652","3,700","2,009","2,815","1,501","2,189"
2021년09월_남_30~39세,"37,231","1,805","4,087","2,143",544,242,400,"3,939","2,470","1,466","4,281","3,033","5,113","3,764","3,944"
2021년09월_남_40~49세,"47,586","2,377","4,841","2,729",772,359,539,"5,196","4,145","1,892","5,745","4,690","4,725","3,819","5,757"
2021년09월_남_50~59세,"35,137","2,986","3,037","2,722","1,386",656,939,"5,084","2,604","2,061","4,483","2,517","2,090","1,705","2,867"
2021년09월_남_60~69세,"25,863","2,499","2,547","2,296","1,261",726,994,"3,475","1,508","1,467","2,906","1,548","1,437","1,380","1,819"
2021년09월_남_70~79세,"12,366","1,015","1,135","1,008",531,384,483,"1,503",834,689,"1,572",824,673,797,918
2021년09월_남_80~89세,"4,282",396,333,359,218,140,221,593,270,248,560,265,181,209,289
2021년09월_남_90~99세,395,47,28,30,19,17,20,57,24,18,51,17,15,26,26
2021년09월_남_100세 이상,14,3,1,2,0,0,1,2,1,0,2,1,1,0,0
2021년09월_여_총인구수,"242,630","13,420","24,068","13,726","4,065","2,461","3,741","31,054","20,013","11,345","31,693","21,126","22,510","17,949","25,459"
2021년09월_여_연령구간인구수,"242,630","13,420","24,068","13,726","4,065","2,461","3,741","31,054","20,013","11,345","31,693","21,126","22,510","17,949","25,459"
2021년09월_여_0~9세,"26,738",852,"3,070","1,140",143,71,128,"2,920","2,348",702,"3,164","2,676","3,228","2,670","3,626"
2021년09월_여_10~19세,"24,266","1,078","2,254","1,205",236,125,191,"3,106","2,750",973,"3,431","2,624","2,059","1,595","2,639"
2021년09월_여_20~29세,"25,648","1,438","2,178","1,319",344,191,303,"3,587","1,976","1,472","3,985","1,946","3,026","1,548","2,335"
2021년09월_여_30~39세,"38,617","1,390","4,487","1,703",306,167,286,"4,232","2,869","1,350","4,686","3,402","5,072","3,888","4,779"
2021년09월_여_40~49세,"44,061","1,865","4,514","2,103",446,228,334,"5,410","4,245","1,838","5,860","4,531","4,052","3,281","5,354"
2021년09월_여_50~59세,"33,649","2,487","3,047","2,238",769,464,702,"5,236","2,584","2,116","4,581","2,492","2,160","1,839","2,934"
2021년09월_여_60~69세,"27,293","2,254","2,774","2,155",901,600,841,"3,510","1,805","1,538","3,283","1,887","1,736","1,767","2,242"
2021년09월_여_70~79세,"14,101","1,202","1,110","1,127",515,318,550,"1,903",947,837,"1,746","1,043",809,940,"1,054"
2021년09월_여_80~89세,"6,944",718,517,608,330,230,340,992,419,443,822,441,310,358,416
2021년09월_여_90~99세,"1,273",131,113,123,73,63,62,156,69,71,131,82,57,62,80
2021년09월_여_100세 이상,40,5,4,5,2,4,4,2,1,5,4,2,1,1,0
