,경상북도 문경시,경상북도 문경시 문경읍,경상북도 문경시 문경읍갈평출장소,경상북도 문경시 가은읍,경상북도 문경시 가은읍북부출장소,경상북도 문경시 영순면,경상북도 문경시 산양면,경상북도 문경시 호계면,경상북도 문경시 산북면,경상북도 문경시 동로면,경상북도 문경시 마성면,경상북도 문경시 농암면,경상북도 문경시 점촌1동,경상북도 문경시 점촌2동,경상북도 문경시 점촌3동,경상북도 문경시 점촌4동,경상북도 문경시 점촌5동
2020년12월_계_총인구수,"71,406","5,839","1,129","3,221",833,"2,451","3,044","2,399","2,777","1,951","3,565","2,609","5,813","7,122","9,087","3,162","16,404"
2020년12월_계_연령구간인구수,"71,406","5,839","1,129","3,221",833,"2,451","3,044","2,399","2,777","1,951","3,565","2,609","5,813","7,122","9,087","3,162","16,404"
2020년12월_계_0~9세,"4,072",218,44,106,11,56,88,44,59,83,86,72,354,427,680,132,"1,612"
2020년12월_계_10~19세,"5,580",338,60,157,39,265,129,149,106,79,125,93,406,573,854,149,"2,058"
2020년12월_계_20~29세,"6,207",394,74,162,34,151,181,323,144,97,213,115,540,621,845,221,"2,092"
2020년12월_계_30~39세,"5,726",367,48,159,45,102,162,105,131,99,218,131,585,635,821,237,"1,881"
2020년12월_계_40~49세,"8,787",604,109,264,77,179,256,183,231,168,306,182,695,874,"1,348",325,"2,986"
2020년12월_계_50~59세,"12,037","1,033",228,545,178,345,484,390,488,363,613,506,991,"1,154","1,544",539,"2,636"
2020년12월_계_60~69세,"13,378","1,275",258,717,199,563,710,537,627,497,755,651,"1,135","1,409","1,533",674,"1,838"
2020년12월_계_70~79세,"9,268","1,002",178,588,151,388,544,353,524,319,705,469,722,944,934,542,905
2020년12월_계_80~89세,"5,480",516,112,440,83,348,412,273,404,218,477,322,350,427,464,298,336
2020년12월_계_90~99세,814,81,18,79,15,53,76,41,58,28,61,61,32,50,59,43,59
2020년12월_계_100세 이상,57,11,0,4,1,1,2,1,5,0,6,7,3,8,5,2,1
2020년12월_남_총인구수,"35,000","2,830",571,"1,566",432,"1,270","1,517","1,141","1,388","1,000","1,692","1,193","2,844","3,454","4,521","1,580","8,001"
2020년12월_남_연령구간인구수,"35,000","2,830",571,"1,566",432,"1,270","1,517","1,141","1,388","1,000","1,692","1,193","2,844","3,454","4,521","1,580","8,001"
2020년12월_남_0~9세,"2,115",100,22,52,5,24,44,23,33,43,39,36,195,232,372,60,835
2020년12월_남_10~19세,"3,021",182,32,94,23,169,65,78,61,42,71,49,229,294,498,86,"1,048"
2020년12월_남_20~29세,"3,517",247,47,101,18,85,122,135,91,59,119,67,316,368,507,133,"1,102"
2020년12월_남_30~39세,"3,016",205,24,86,20,63,87,59,81,56,126,72,312,348,417,132,928
2020년12월_남_40~49세,"4,725",334,66,144,44,112,167,107,146,108,202,115,383,462,711,202,"1,422"
2020년12월_남_50~59세,"6,212",542,131,291,105,203,276,218,285,188,341,246,470,571,744,304,"1,297"
2020년12월_남_60~69세,"6,467",604,131,380,119,290,349,280,331,288,368,316,494,627,696,328,866
2020년12월_남_70~79세,"4,004",420,79,258,65,190,252,144,232,134,286,195,304,408,399,246,392
2020년12월_남_80~89세,"1,747",176,37,138,32,123,142,90,116,77,125,82,134,136,158,84,97
2020년12월_남_90~99세,162,16,2,22,1,11,13,7,10,5,12,13,7,6,18,5,14
2020년12월_남_100세 이상,14,4,0,0,0,0,0,0,2,0,3,2,0,2,1,0,0
2020년12월_여_총인구수,"36,406","3,009",558,"1,655",401,"1,181","1,527","1,258","1,389",951,"1,873","1,416","2,969","3,668","4,566","1,582","8,403"
2020년12월_여_연령구간인구수,"36,406","3,009",558,"1,655",401,"1,181","1,527","1,258","1,389",951,"1,873","1,416","2,969","3,668","4,566","1,582","8,403"
2020년12월_여_0~9세,"1,957",118,22,54,6,32,44,21,26,40,47,36,159,195,308,72,777
2020년12월_여_10~19세,"2,559",156,28,63,16,96,64,71,45,37,54,44,177,279,356,63,"1,010"
2020년12월_여_20~29세,"2,690",147,27,61,16,66,59,188,53,38,94,48,224,253,338,88,990
2020년12월_여_30~39세,"2,710",162,24,73,25,39,75,46,50,43,92,59,273,287,404,105,953
2020년12월_여_40~49세,"4,062",270,43,120,33,67,89,76,85,60,104,67,312,412,637,123,"1,564"
2020년12월_여_50~59세,"5,825",491,97,254,73,142,208,172,203,175,272,260,521,583,800,235,"1,339"
2020년12월_여_60~69세,"6,911",671,127,337,80,273,361,257,296,209,387,335,641,782,837,346,972
2020년12월_여_70~79세,"5,264",582,99,330,86,198,292,209,292,185,419,274,418,536,535,296,513
2020년12월_여_80~89세,"3,733",340,75,302,51,225,270,183,288,141,352,240,216,291,306,214,239
2020년12월_여_90~99세,652,65,16,57,14,42,63,34,48,23,49,48,25,44,41,38,45
2020년12월_여_100세 이상,43,7,0,4,1,1,2,1,3,0,3,5,3,6,4,2,1
