,부산광역시 영도구,부산광역시 영도구 남항동,부산광역시 영도구 영선제1동,부산광역시 영도구 영선제2동,부산광역시 영도구 신선동,부산광역시 영도구 봉래제1동,부산광역시 영도구 봉래제2동,부산광역시 영도구 청학제1동,부산광역시 영도구 청학제2동,부산광역시 영도구 동삼제1동,부산광역시 영도구 동삼제2동,부산광역시 영도구 동삼제3동
2020년11월_계_총인구수,"113,621","10,964","4,159","8,854","9,136","7,301","5,251","6,708","18,457","28,818","3,546","10,427"
2020년11월_계_연령구간인구수,"113,621","10,964","4,159","8,854","9,136","7,301","5,251","6,708","18,457","28,818","3,546","10,427"
2020년11월_계_0~9세,"5,198",420,187,407,218,360,151,349,"1,042","1,550",175,339
2020년11월_계_10~19세,"7,457",548,252,575,500,425,272,447,"1,446","2,241",186,565
2020년11월_계_20~29세,"12,022","1,060",445,895,814,738,490,605,"1,956","3,489",606,924
2020년11월_계_30~39세,"10,690","1,056",386,822,647,755,382,651,"1,868","2,888",341,894
2020년11월_계_40~49세,"15,246","1,453",546,"1,125","1,123",975,689,972,"2,629","4,038",439,"1,257"
2020년11월_계_50~59세,"19,631","1,932",712,"1,519","1,676","1,192",920,"1,084","3,209","5,051",484,"1,852"
2020년11월_계_60~69세,"22,099","2,225",837,"1,711","1,856","1,454","1,061","1,244","3,423","5,231",671,"2,386"
2020년11월_계_70~79세,"14,560","1,540",547,"1,200","1,533",896,909,923,"1,993","3,017",461,"1,541"
2020년11월_계_80~89세,"5,851",632,215,512,679,418,340,360,777,"1,165",153,600
2020년11월_계_90~99세,735,89,23,76,78,58,29,61,99,132,28,62
2020년11월_계_100세 이상,132,9,9,12,12,30,8,12,15,16,2,7
2020년11월_남_총인구수,"55,985","5,472","2,014","4,298","4,586","3,582","2,604","3,254","9,171","14,058","1,874","5,072"
2020년11월_남_연령구간인구수,"55,985","5,472","2,014","4,298","4,586","3,582","2,604","3,254","9,171","14,058","1,874","5,072"
2020년11월_남_0~9세,"2,627",210,99,209,128,181,71,177,520,767,97,168
2020년11월_남_10~19세,"3,852",278,136,308,262,212,141,237,758,"1,138",91,291
2020년11월_남_20~29세,"6,595",554,243,497,435,389,277,312,"1,063","1,934",378,513
2020년11월_남_30~39세,"5,769",577,205,429,385,408,225,338,"1,024","1,501",196,481
2020년11월_남_40~49세,"7,999",811,275,559,640,530,393,504,"1,338","2,006",256,687
2020년11월_남_50~59세,"10,002","1,072",357,746,942,619,490,560,"1,622","2,401",261,932
2020년11월_남_60~69세,"10,559","1,075",374,815,901,686,484,579,"1,620","2,520",330,"1,175"
2020년11월_남_70~79세,"6,336",653,234,523,634,395,376,406,922,"1,359",202,632
2020년11월_남_80~89세,"2,064",228,83,190,244,142,135,124,280,403,52,183
2020년11월_남_90~99세,149,12,4,19,10,16,8,14,18,29,10,9
2020년11월_남_100세 이상,33,2,4,3,5,4,4,3,6,0,1,1
2020년11월_여_총인구수,"57,636","5,492","2,145","4,556","4,550","3,719","2,647","3,454","9,286","14,760","1,672","5,355"
2020년11월_여_연령구간인구수,"57,636","5,492","2,145","4,556","4,550","3,719","2,647","3,454","9,286","14,760","1,672","5,355"
2020년11월_여_0~9세,"2,571",210,88,198,90,179,80,172,522,783,78,171
2020년11월_여_10~19세,"3,605",270,116,267,238,213,131,210,688,"1,103",95,274
2020년11월_여_20~29세,"5,427",506,202,398,379,349,213,293,893,"1,555",228,411
2020년11월_여_30~39세,"4,921",479,181,393,262,347,157,313,844,"1,387",145,413
2020년11월_여_40~49세,"7,247",642,271,566,483,445,296,468,"1,291","2,032",183,570
2020년11월_여_50~59세,"9,629",860,355,773,734,573,430,524,"1,587","2,650",223,920
2020년11월_여_60~69세,"11,540","1,150",463,896,955,768,577,665,"1,803","2,711",341,"1,211"
2020년11월_여_70~79세,"8,224",887,313,677,899,501,533,517,"1,071","1,658",259,909
2020년11월_여_80~89세,"3,787",404,132,322,435,276,205,236,497,762,101,417
2020년11월_여_90~99세,586,77,19,57,68,42,21,47,81,103,18,53
2020년11월_여_100세 이상,99,7,5,9,7,26,4,9,9,16,1,6
