카테고리,전라북도 부안군,전라북도 부안군 부안읍,전라북도 부안군 주산면,전라북도 부안군 동진면,전라북도 부안군 행안면,전라북도 부안군 계화면,전라북도 부안군 보안면,전라북도 부안군 변산면,전라북도 부안군 진서면,전라북도 부안군 백산면,전라북도 부안군 상서면,전라북도 부안군 하서면,전라북도 부안군 줄포면,전라북도 부안군 위도면
2021년11월_계_총인구수,"50,852","20,844","1,880","2,768","2,151","3,298","2,401","4,370","2,240","2,474","2,166","2,603","2,528","1,129"
2021년11월_계_연령구간인구수,"50,852","20,844","1,880","2,768","2,151","3,298","2,401","4,370","2,240","2,474","2,166","2,603","2,528","1,129"
2021년11월_계_0~9세,"2,367","1,586",36,53,55,91,51,177,70,36,54,63,67,28
2021년11월_계_10~19세,"3,538","2,308",53,103,108,139,74,270,97,91,77,99,95,24
2021년11월_계_20~29세,"3,991","2,139",112,169,128,185,111,330,144,142,153,159,158,61
2021년11월_계_30~39세,"3,633","1,934",106,152,167,202,103,333,120,113,108,127,113,55
2021년11월_계_40~49세,"5,767","3,027",126,215,200,358,174,500,206,200,170,238,238,115
2021년11월_계_50~59세,"8,559","3,457",305,466,385,468,418,811,387,384,393,433,452,200
2021년11월_계_60~69세,"9,926","3,140",448,589,472,739,571,935,575,541,469,572,590,285
2021년11월_계_70~79세,"7,671","2,012",372,551,350,720,487,632,413,515,405,512,489,213
2021년11월_계_80~89세,"4,707","1,119",274,400,239,351,364,329,196,393,297,344,278,123
2021년11월_계_90~99세,671,116,47,70,45,44,46,52,29,57,39,53,48,25
2021년11월_계_100세 이상,22,6,1,0,2,1,2,1,3,2,1,3,0,0
2021년11월_남_총인구수,"25,286","10,183",918,"1,393","1,120","1,667","1,201","2,236","1,158","1,222","1,068","1,273","1,246",601
2021년11월_남_연령구간인구수,"25,286","10,183",918,"1,393","1,120","1,667","1,201","2,236","1,158","1,222","1,068","1,273","1,246",601
2021년11월_남_0~9세,"1,257",824,19,31,19,42,27,101,42,22,32,36,46,16
2021년11월_남_10~19세,"1,847","1,195",35,50,60,69,46,134,57,50,40,51,49,11
2021년11월_남_20~29세,"2,279","1,192",67,103,73,99,61,186,104,77,79,94,108,36
2021년11월_남_30~39세,"1,950",934,62,94,104,132,56,195,64,77,67,69,60,36
2021년11월_남_40~49세,"3,222","1,493",81,149,129,233,123,304,119,131,103,137,142,78
2021년11월_남_50~59세,"4,754","1,747",182,281,235,282,236,450,227,237,229,264,256,128
2021년11월_남_60~69세,"4,959","1,528",212,313,261,350,301,463,278,273,256,288,279,157
2021년11월_남_70~79세,"3,370",874,163,231,151,325,218,292,203,220,173,212,211,97
2021년11월_남_80~89세,"1,514",375,86,124,78,126,121,105,60,120,83,108,88,40
2021년11월_남_90~99세,132,21,11,17,9,9,11,6,4,15,6,14,7,2
2021년11월_남_100세 이상,2,0,0,0,1,0,1,0,0,0,0,0,0,0
2021년11월_여_총인구수,"25,566","10,661",962,"1,375","1,031","1,631","1,200","2,134","1,082","1,252","1,098","1,330","1,282",528
2021년11월_여_연령구간인구수,"25,566","10,661",962,"1,375","1,031","1,631","1,200","2,134","1,082","1,252","1,098","1,330","1,282",528
2021년11월_여_0~9세,"1,110",762,17,22,36,49,24,76,28,14,22,27,21,12
2021년11월_여_10~19세,"1,691","1,113",18,53,48,70,28,136,40,41,37,48,46,13
2021년11월_여_20~29세,"1,712",947,45,66,55,86,50,144,40,65,74,65,50,25
2021년11월_여_30~39세,"1,683","1,000",44,58,63,70,47,138,56,36,41,58,53,19
2021년11월_여_40~49세,"2,545","1,534",45,66,71,125,51,196,87,69,67,101,96,37
2021년11월_여_50~59세,"3,805","1,710",123,185,150,186,182,361,160,147,164,169,196,72
2021년11월_여_60~69세,"4,967","1,612",236,276,211,389,270,472,297,268,213,284,311,128
2021년11월_여_70~79세,"4,301","1,138",209,320,199,395,269,340,210,295,232,300,278,116
2021년11월_여_80~89세,"3,193",744,188,276,161,225,243,224,136,273,214,236,190,83
2021년11월_여_90~99세,539,95,36,53,36,35,35,46,25,42,33,39,41,23
2021년11월_여_100세 이상,20,6,1,0,1,1,1,1,3,2,1,3,0,0
