,충청북도 제천시,충청북도 제천시 봉양읍,충청북도 제천시 금성면,충청북도 제천시 청풍면,충청북도 제천시 수산면,충청북도 제천시 덕산면,충청북도 제천시 한수면,충청북도 제천시 백운면,충청북도 제천시 송학면,충청북도 제천시 교동,충청북도 제천시 의림지동,충청북도 제천시 중앙동,충청북도 제천시 남현동,충청북도 제천시 영서동,충청북도 제천시 용두동,충청북도 제천시 신백동,충청북도 제천시 청전동,충청북도 제천시 화산동
2021년09월_계_총인구수,"131,879","6,691","1,902","1,267","2,007","2,163",707,"3,332","4,609","18,611","9,915","5,771","4,914","10,151","17,950","11,123","15,491","15,275"
2021년09월_계_연령구간인구수,"131,879","6,691","1,902","1,267","2,007","2,163",707,"3,332","4,609","18,611","9,915","5,771","4,914","10,151","17,950","11,123","15,491","15,275"
2021년09월_계_0~9세,"8,269",241,40,23,36,65,19,80,98,"1,511",763,238,190,773,"1,277",676,641,"1,598"
2021년09월_계_10~19세,"11,383",334,88,42,63,189,36,136,198,"2,249","1,090",381,286,880,"1,789","1,148","1,080","1,394"
2021년09월_계_20~29세,"14,434",468,108,68,71,68,33,159,342,"2,275","1,256",655,575,"1,018","2,630","1,347","1,845","1,516"
2021년09월_계_30~39세,"12,519",386,93,63,74,80,35,138,232,"1,878","1,002",455,406,"1,084","2,135",993,"1,394","2,071"
2021년09월_계_40~49세,"17,784",662,133,76,128,165,65,227,382,"3,175","1,578",714,515,"1,427","2,654","1,687","1,844","2,352"
2021년09월_계_50~59세,"23,516","1,266",355,252,385,351,143,604,855,"3,474","1,788",976,905,"1,738","3,097","2,147","2,818","2,362"
2021년09월_계_60~69세,"24,146","1,770",559,370,616,603,195,"1,047","1,294","2,407","1,431","1,241","1,129","1,706","2,558","1,701","3,364","2,155"
2021년09월_계_70~79세,"12,306",927,269,212,375,386,94,526,702,"1,069",612,736,622,958,"1,095",909,"1,676","1,138"
2021년09월_계_80~89세,"6,632",559,216,148,237,220,72,368,435,518,337,331,265,494,641,451,726,614
2021년09월_계_90~99세,831,77,35,13,22,36,14,47,66,50,55,40,20,57,72,58,98,71
2021년09월_계_100세 이상,59,1,6,0,0,0,1,0,5,5,3,4,1,16,2,6,5,4
2021년09월_남_총인구수,"66,273","3,433","1,018",649,"1,045","1,104",360,"1,713","2,425","9,183","4,894","2,868","2,465","5,073","8,944","5,575","7,793","7,731"
2021년09월_남_연령구간인구수,"66,273","3,433","1,018",649,"1,045","1,104",360,"1,713","2,425","9,183","4,894","2,868","2,465","5,073","8,944","5,575","7,793","7,731"
2021년09월_남_0~9세,"4,261",133,27,16,19,40,8,47,45,783,415,108,97,408,641,346,321,807
2021년09월_남_10~19세,"5,877",168,53,19,34,101,19,76,112,"1,137",549,201,147,466,897,599,585,714
2021년09월_남_20~29세,"8,077",267,67,37,49,42,25,97,218,"1,226",677,346,340,566,"1,449",766,"1,058",847
2021년09월_남_30~39세,"6,620",222,58,43,50,41,20,77,156,940,496,259,233,539,"1,139",522,789,"1,036"
2021년09월_남_40~49세,"9,121",371,75,48,78,104,37,132,235,"1,507",775,369,277,766,"1,311",805,973,"1,258"
2021년09월_남_50~59세,"12,034",675,201,131,205,185,82,312,445,"1,745",891,509,461,874,"1,542","1,134","1,380","1,262"
2021년09월_남_60~69세,"12,083",930,316,195,332,317,100,559,689,"1,204",703,583,516,825,"1,315",853,"1,596","1,050"
2021년09월_남_70~79세,"5,590",443,135,101,188,191,39,265,340,451,260,343,287,423,440,381,802,501
2021년09월_남_80~89세,"2,410",209,76,56,84,78,25,138,163,180,114,139,101,185,195,156,270,241
2021년09월_남_90~99세,185,15,9,3,6,5,4,10,20,10,13,9,6,14,15,12,19,15
2021년09월_남_100세 이상,15,0,1,0,0,0,1,0,2,0,1,2,0,7,0,1,0,0
2021년09월_여_총인구수,"65,606","3,258",884,618,962,"1,059",347,"1,619","2,184","9,428","5,021","2,903","2,449","5,078","9,006","5,548","7,698","7,544"
2021년09월_여_연령구간인구수,"65,606","3,258",884,618,962,"1,059",347,"1,619","2,184","9,428","5,021","2,903","2,449","5,078","9,006","5,548","7,698","7,544"
2021년09월_여_0~9세,"4,008",108,13,7,17,25,11,33,53,728,348,130,93,365,636,330,320,791
2021년09월_여_10~19세,"5,506",166,35,23,29,88,17,60,86,"1,112",541,180,139,414,892,549,495,680
2021년09월_여_20~29세,"6,357",201,41,31,22,26,8,62,124,"1,049",579,309,235,452,"1,181",581,787,669
2021년09월_여_30~39세,"5,899",164,35,20,24,39,15,61,76,938,506,196,173,545,996,471,605,"1,035"
2021년09월_여_40~49세,"8,663",291,58,28,50,61,28,95,147,"1,668",803,345,238,661,"1,343",882,871,"1,094"
2021년09월_여_50~59세,"11,482",591,154,121,180,166,61,292,410,"1,729",897,467,444,864,"1,555","1,013","1,438","1,100"
2021년09월_여_60~69세,"12,063",840,243,175,284,286,95,488,605,"1,203",728,658,613,881,"1,243",848,"1,768","1,105"
2021년09월_여_70~79세,"6,716",484,134,111,187,195,55,261,362,618,352,393,335,535,655,528,874,637
2021년09월_여_80~89세,"4,222",350,140,92,153,142,47,230,272,338,223,192,164,309,446,295,456,373
2021년09월_여_90~99세,646,62,26,10,16,31,10,37,46,40,42,31,14,43,57,46,79,56
2021년09월_여_100세 이상,44,1,5,0,0,0,0,0,3,5,2,2,1,9,2,5,5,4
